4651861144,104.36
2029075259,169.05
7975490736,144.91
1604898223,180.31
5460609671,3.85
9650481305,195.44
7780854831,67.79
1194607021,162.93
2581192686,145.77
8465249771,117.34
5201758600,196.78
9328241683,158.47
3511092833,87.58
0879898868,116.19
2165001760,173.69
2925648759,40.25
2807441633,103.24
8773879330,28.17
9403532141,84.91
6784960106,157.29
7268888904,199.32
4716802302,123.87
5157226892,170.60
6251842446,87.93
8649139606,196.66
4048067021,157.29
7527488795,92.56
5449673245,138.13
1592226422,98.88
4092780654,40.12
7355990982,11.37
7822362934,28.65
5319961973,55.44
1520674066,174.73
4758647605,150.36
8613530819,21.68
3290495913,55.97
6386159067,141.23
5329799687,33.72
5618395633,99.38
8967247676,15.84
